Entidad,Municipio,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,mean_ann,std_ann,max_ann,min_ann,sum_all,trend_slope,mean_last3,growth_last,cluster,risk_zone
CHIAPAS,CHENALHO,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,2.0,0.7272727272727273,0.7496555682941202,2.0,0.0,11.476928295566847,0.09090909090909095,1.0,2.0,3,1
CHIAPAS,CHIAPA DE CORZO,31.0,75.0,98.0,50.0,72.0,61.0,62.0,86.0,51.0,71.0,16.0,61.18181818181818,22.477536996332308,98.0,16.0,870.6593551781505,-1.5454545454545463,46.0,0.34782608695652173,0,2
CHIAPAS,CHIAPILLA,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.2727272727272727,0.4453617714151233,1.0,0.0,4.7180890441423955,-0.018181818181818188,0.0,0.0,0,2
CHIAPAS,CHICOASEN,2.0,0.0,3.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.1818181818181819,0.8331955809010618,3.0,0.0,18.015013762719242,-0.07272727272727275,1.0,1.0,0,2
CHIAPAS,CHICOMUSELO,5.0,3.0,3.0,0.0,5.0,1.0,0.0,2.0,1.0,0.0,17.0,3.3636363636363638,4.65681762722389,17.0,0.0,62.020453990860254,0.37272727272727296,6.0,2.8333333333333335,3,1
CHIAPAS,CHILON,6.0,9.0,18.0,13.0,2.0,3.0,10.0,7.0,3.0,8.0,3.0,7.454545454545454,4.6974584300959314,18.0,2.0,114.15200388464139,-0.6181818181818184,4.666666666666667,0.6428571428571428,0,2
CHIAPAS,CINTALAPA,23.0,41.0,54.0,58.0,74.0,53.0,42.0,37.0,48.0,38.0,1.0,42.63636363636363,18.242172554389793,74.0,1.0,604.8785361907534,-1.9454545454545469,29.0,0.034482758620689655,0,2
CHIAPAS,COAPILLA,0.0,0.0,0.0,0.0,1.0,0.0,5.0,2.0,0.0,0.0,0.0,0.7272727272727273,1.4826824027545535,5.0,0.0,15.20995513002728,0.07272727272727275,0.0,0.0,0,2
CHIAPAS,COMITAN DE DOMINGUEZ,84.0,131.0,112.0,141.0,174.0,124.0,103.0,14.0,54.0,60.0,54.0,95.54545454545455,44.83578853866962,174.0,14.0,1379.3812430841242,-8.481818181818184,56.0,0.9642857142857143,0,2
CHIAPAS,COPAINALA,0.0,3.0,1.0,2.0,2.0,2.0,3.0,0.0,0.0,3.0,0.0,1.4545454545454546,1.233150906022776,3.0,0.0,21.68769636056823,-0.0545454545454546,1.0,0.0,0,2
CHIAPAS,EL BOSQUE,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.5454545454545454,0.6555547773570889,2.0,0.0,9.201009322811634,-0.04545454545454548,0.6666666666666666,1.5,3,1
CHIAPAS,EL PARRAL,0.0,0.0,0.0,0.0,1.0,4.0,3.0,1.0,2.0,1.0,2.0,1.2727272727272727,1.28564869306645,4.0,0.0,20.558375965793722,0.21818181818181834,1.6666666666666667,1.2,3,1
CHIAPAS,EL PORVENIR,1.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5454545454545454,0.8907235428302466,3.0,0.0,10.436178088284791,-0.11818181818181822,0.0,0.0,0,2
CHIAPAS,EMILIANO ZAPATA,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.18181818181818182,0.385694607919935,1.0,0.0,3.5675127897381165,0.036363636363636376,0.3333333333333333,0.0,0,2
CHIAPAS,ESCUINTLA,13.0,23.0,13.0,22.0,27.0,43.0,19.0,5.0,6.0,7.0,17.0,17.727272727272727,10.583786133781231,43.0,5.0,271.31105886105394,-0.9727272727272732,10.0,1.7,3,1
CHIAPAS,FRANCISCO LEON,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.18181818181818182,0.385694607919935,1.0,0.0,3.5675127897381165,-0.02727272727272727,0.0,0.0,0,2
CHIAPAS,FRONTERA COMALAPA,33.0,28.0,34.0,17.0,26.0,6.0,15.0,9.0,4.0,1.0,5.0,16.181818181818183,11.668280093080492,34.0,1.0,240.85009827489867,-3.3181818181818192,3.3333333333333335,1.5,3,1
CHIAPAS,FRONTERA HIDALGO,5.0,9.0,10.0,3.0,9.0,9.0,12.0,8.0,4.0,4.0,0.0,6.636363636363637,3.4712514712794156,12.0,0.0,95.10761510764306,-0.4545454545454548,2.6666666666666665,0.0,0,2
CHIAPAS,HONDURAS DE LA SIERRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2
CHIAPAS,HUEHUETAN,4.0,22.0,30.0,32.0,38.0,23.0,16.0,9.0,2.0,1.0,3.0,16.363636363636363,12.80108466478686,38.0,1.0,248.16472102842323,-2.190909090909092,2.0,1.5,3,1
CHIAPAS,HUITIUPAN,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.2874797872880344,1.0,0.0,2.378388878197125,-0.009090909090909096,0.0,0.0,0,2
CHIAPAS,HUIXTAN,3.0,6.0,4.0,2.0,6.0,11.0,23.0,23.0,6.0,4.0,1.0,8.090909090909092,7.464516612913579,23.0,1.0,128.55542570382266,0.42727272727272725,3.6666666666666665,0.27272727272727276,0,2
CHIAPAS,HUIXTLA,73.0,64.0,49.0,43.0,102.0,41.0,57.0,31.0,5.0,3.0,5.0,43.0,29.68011271725717,102.0,3.0,650.6801127172572,-7.136363636363638,4.333333333333333,1.153846153846154,3,1
CHIAPAS,IXHUATAN,0.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.6363636363636364,0.8813963377120598,3.0,0.0,11.517759974075696,-0.07272727272727278,0.3333333333333333,0.0,0,2
CHIAPAS,IXTACOMITAN,0.0,4.0,1.0,4.0,2.0,1.0,0.0,3.0,3.0,6.0,0.0,2.1818181818181817,1.8982375470746453,6.0,0.0,34.08005572889283,0.09090909090909098,3.0,0.0,0,2
CHIAPAS,IXTAPA,1.0,11.0,17.0,13.0,15.0,6.0,8.0,5.0,6.0,3.0,3.0,8.0,5.04524979109513,17.0,1.0,119.04524979109513,-0.7090909090909093,4.0,0.75,0,2
CHIAPAS,IXTAPANGAJOYA,1.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,2.0,1.0,0.9090909090909091,0.899954085146515,3.0,0.0,14.809044994237423,0.06363636363636366,1.0,1.0,0,2
